patchName	originalName	method	offsetX	offsetY
a_bu_cp1	graph/a_bu_cp1	A	0	0
a_bus_s1	graph/a_bus_s1	A	8	0
a_cg_p2	graph/a_cg_p2	A	0	0
a_cg_p3	graph/a_cg_p3	A	693	647
a_cg_s1	graph/a_cg_s1	A	0	0
a_mem_p2	graph/a_mem_p2	A	0	0
a_mem_s1	graph/a_mem_s1	A	0	0
a_mov_s1	graph/a_mov_s1	A	0	0
a_mov_thum	graph/a_mov_thum	A	0	0
a_snd_s1	graph/a_snd_s1	A	0	0
a_top_p1	graph/a_top_p1	A	0	0
a_top_p2	graph/a_top_p2	A	0	0
a_top_s1	graph/a_top_s1	A	0	0
bl_char	graph/bl_char	A	0	0
bl_mask	graph/bl_mask	A	0	0
eyecatch_title_A	graph/eyecatch_title_A	A	876	491
eyecatch_title_B	graph/eyecatch_title_B	A	110	491
eyecatch_title_C	graph/eyecatch_title_C	A	110	491
eyecatch_title_D	graph/eyecatch_title_D	A	110	491
eyecatch_title_E	graph/eyecatch_title_E	A	110	491
eyecatch_title_L	graph/eyecatch_title_L	A	110	491
eyecatch_title_R	graph/eyecatch_title_R	A	876	491
fc_back_help	graph/fc_back_help	A	1050	545
fc_load_help	graph/fc_load_help	A	1050	546
fc_lock_help	graph/fc_lock_help	A	1050	545
fc_play_help	graph/fc_play_help	A	1050	546
fc_qload_help	graph/fc_qload_help	A	1050	546
fc_qsave_help	graph/fc_qsave_help	A	1050	546
fc_save_help	graph/fc_save_help	A	1050	547
fc_skip_help	graph/fc_skip_help	A	1050	546
fc_system_help	graph/fc_system_help	A	1050	545
fc_voice_help	graph/fc_voice_help	A	1050	545
fc_wincls_help	graph/fc_wincls_help	A	1050	545
help_sys	graph/help_sys	A	99	24
menu_bg	graph/menu_bg	A	430	299
menu_del_mes	graph/menu_del_mes	A	538	309
menu_exit_mes	graph/menu_exit_mes	A	484	308
menu_init_mes	graph/menu_init_mes	A	483	308
menu_no_1	graph/menu_no_1	A	648	350
menu_no_2	graph/menu_no_2	A	648	350
menu_ow_mes	graph/menu_ow_mes	A	526	308
menu_qload_mes	graph/menu_qload_mes	A	469	309
menu_title_mes	graph/menu_title_mes	A	485	309
menu_undo_mes	graph/menu_undo_mes	A	455	308
menu_yes_1	graph/menu_yes_1	A	487	350
menu_yes_2	graph/menu_yes_2	A	487	350
opt_001	graph/opt_001	A	1	1
opt_002	graph/opt_002	A	1	0
opt_003	graph/opt_003	A	2	0
opt_004	graph/opt_004	A	2	0
opt_005	graph/opt_005	A	2	0
opt_006	graph/opt_006	A	3	0
opt_007	graph/opt_007	A	3	0
opt_008	graph/opt_008	A	0	0
opt_009	graph/opt_009	A	1	0
opt_010	graph/opt_010	A	1	0
opt_011	graph/opt_011	A	4	0
opt_012	graph/opt_012	A	0	0
opt_013	graph/opt_013	A	2	0
opt_014	graph/opt_014	A	1	0
opt_015	graph/opt_015	A	1	0
opt_016	graph/opt_016	A	0	0
opt_101	graph/opt_101	A	2	0
opt_102	graph/opt_102	A	4	2
opt_103	graph/opt_103	A	2	0
opt_104	graph/opt_104	A	0	0
opt_105	graph/opt_105	A	0	0
opt_106	graph/opt_106	A	2	0
opt_107	graph/opt_107	A	2	0
opt_108	graph/opt_108	A	2	0
opt_109	graph/opt_109	A	0	0
opt_110	graph/opt_110	A	2	0
opt_111	graph/opt_111	A	2	0
opt_112	graph/opt_112	A	1	0
opt_113	graph/opt_113	A	0	0
opt_114	graph/opt_114	A	0	0
opt_115	graph/opt_115	A	0	0
opt_116	graph/opt_116	A	1	0
opt_117	graph/opt_117	A	1	0
opt_201	graph/opt_201	A	0	0
opt_m_pts1	graph/opt_m_pts1	A	0	0
opt_m_pts2	graph/opt_m_pts2	A	0	0
opt_o_pts1	graph/opt_o_pts1	A	0	0
opt_o_pts2	graph/opt_o_pts2	A	0	0
opt_parts	graph/opt_parts	A	0	0
opt_s_pts1	graph/opt_s_pts1	A	0	0
opt_s_pts2	graph/opt_s_pts2	A	0	0
opt_sheet1	graph/opt_sheet1	A	0	0
opt_sheet2	graph/opt_sheet2	A	0	0
opt_sheet3	graph/opt_sheet3	A	0	0
sd_002_21	graph/sd_002_21	A	720	13
sd_003_12	graph/sd_003_12	A	221	57
sd_003_31	graph/sd_003_31	A	577	40
sd_004_53	graph/sd_004_53	A	508	91
sd_101_11	graph/sd_101_11	A	0	0
sd_101_21	graph/sd_101_21	A	809	29
sd_101_23	graph/sd_101_23	A	763	505
sd_201_13	graph/sd_201_13	A	155	106
sd_202_12	graph/sd_202_12	A	503	42
sd_202_21	graph/sd_202_21	A	455	11
sd_202_22	graph/sd_202_22	A	455	11
sd_202_32	graph/sd_202_32	A	142	44
sd_202_52	graph/sd_202_52	A	72	80
sd_401_33	graph/sd_401_33	A	75	219
sd_401_52	graph/sd_401_52	A	544	25
sd_401_62	graph/sd_401_62	A	447	23
sidewindow	graph/sidewindow	A	424	334
slf_load_bg	graph/slf_load_bg	A	0	0
slf_prt_mask	graph/slf_prt_mask	A	0	0
slf_save_bg	graph/slf_save_bg	A	0	0
ssel_bg	graph/ssel_bg	A	0	0
startmoji_t01	graph/startmoji_t01	A	494	320
startmoji_t02	graph/startmoji_t02	A	640	321
startmoji_t10	graph/startmoji_t10	A	494	314
startmoji_t11	graph/startmoji_t11	A	649	315
sys_config_M	graph/sys_config_M	A	893	338
sys_exit_M	graph/sys_exit_M	A	893	339
sys_hidewin_M	graph/sys_hidewin_M	A	893	338
sys_load_M	graph/sys_load_M	A	893	338
sys_return_M	graph/sys_return_M	A	893	338
sys_save_M	graph/sys_save_M	A	893	338
sys_title_M	graph/sys_title_M	A	893	338
sys_undo_M	graph/sys_undo_M	A	893	338
sys_window_front	graph/sys_window_front	A	0	0
title_logo1	graph/title_logo1	A	134	108
title_album	graph/title_album	A	1110	295
title_album1	graph/title_album1	A	1013	293
title_album2	graph/title_album2	A	1013	294
title_album3	graph/title_album3	A	1013	294
title_album4	graph/title_album4	A	1013	294
title_album5	graph/title_album5	A	1013	294
title_album6	graph/title_album6	A	1013	294
title_album7	graph/title_album7	A	1013	295
title_album8	graph/title_album8	A	1013	295
title_album9	graph/title_album9	A	1013	295
title_album10	graph/title_album10	A	1013	294
title_album11	graph/title_album11	A	1013	294
title_album12	graph/title_album12	A	1013	294
title_album13	graph/title_album13	A	1013	294
title_album14	graph/title_album14	A	1013	294
title_album15	graph/title_album15	A	1013	294
title_continue	graph/title_continue	A	1040	195
title_continue1	graph/title_continue1	A	942	193
title_continue2	graph/title_continue2	A	942	194
title_continue3	graph/title_continue3	A	942	194
title_continue4	graph/title_continue4	A	942	194
title_continue5	graph/title_continue5	A	942	194
title_continue6	graph/title_continue6	A	942	194
title_continue7	graph/title_continue7	A	942	195
title_continue8	graph/title_continue8	A	942	195
title_continue9	graph/title_continue9	A	942	195
title_continue10	graph/title_continue10	A	942	194
title_continue11	graph/title_continue11	A	942	194
title_continue12	graph/title_continue12	A	942	194
title_continue13	graph/title_continue13	A	942	194
title_continue14	graph/title_continue14	A	942	194
title_continue15	graph/title_continue15	A	942	194
title_end	graph/title_end	A	1150	495
title_end1	graph/title_end1	A	1053	493
title_end2	graph/title_end2	A	1053	494
title_end3	graph/title_end3	A	1053	494
title_end4	graph/title_end4	A	1053	494
title_end5	graph/title_end5	A	1053	494
title_end6	graph/title_end6	A	1053	494
title_end7	graph/title_end7	A	1053	495
title_end8	graph/title_end8	A	1053	495
title_end9	graph/title_end9	A	1053	495
title_end10	graph/title_end10	A	1053	494
title_end11	graph/title_end11	A	1053	494
title_end12	graph/title_end12	A	1053	494
title_end13	graph/title_end13	A	1053	494
title_end14	graph/title_end14	A	1053	494
title_end15	graph/title_end15	A	1053	494
title_omit	graph/title_omit	A	1110	300
title_option	graph/title_option	A	1090	395
title_option1	graph/title_option1	A	1003	393
title_option2	graph/title_option2	A	1003	394
