"0000004A","　 ？？？ 　","　 ？？？ 　"
"00000059","　？クロ　　","　？クロ　　"
"0000007B","　　クロ　　","　　小黑　　"
"00000122","　 ？？？ 　","　 ？？？ 　"
"00000131","　 ？ハル 　","　 ？ハル 　"
"00000153","　　ハル　　","　　春　　"
"000001FA","　 ？？？ 　","　 ？？？ 　"
"00000209","　 ？千和 　","　 ？千和 　"
"0000022B","　　千和　　","　　千和　　"
"000002D2","　 ？？？ 　","　 ？？？ 　"
"000002E1","　？姫織　","　？姫織　"
"00000301","　　姫織　　","　　姬织　　"
"000003A8","　 ？？？ 　","　 ？？？ 　"
"000003B7","　？ましろ　","　？ましろ　"
"000003D9","　 ましろ 　","　 真白 　"
"00000480","　 ？？？ 　","　 ？？？ 　"
"0000048F","　 ？十夜 　","　 ？十夜 　"
"000004B1","　　十夜　　","　　十夜　　"
"00000558","　 ？？？ 　","　 ？？？ 　"
"00000567","　？あさひ　","　？あさひ　"
"00000589","　 あさひ 　","　 朝日 　"
"00000630","　 ？？？ 　","　 ？？？ 　"
"0000063F","　？あず咲　","　？あず咲　"
"00000661","　 あず咲 　","　 梓咲 　"
"00000708","　 ？？？ 　","　 ？？？ 　"
"00000717","　 ？ナナ 　","　 ？ナナ 　"
"00000739","　　ナナ　　","　　七七　　"
"000007E0","　 ？？？ 　","　 ？？？ 　"
"000007EF","　 ？智仁 　","　 ？智仁 　"
"00000811","　　智仁　　","　　智仁　　"
"000008B8","　 ？？？ 　","　 ？？？ 　"
"000008C7","　 ？ソル 　","　 ？ソル 　"
"000008F3","　　一磨　　","　　一磨　　"
"00000902","　 ？一磨 　","　 ？一磨 　"
"0000092E","　　遠矢　　","　　远矢　　"
"0000093D","　 ？遠矢 　","　 ？遠矢 　"
"0000095F","　　ソル　　","　　索尔　　"
"00000A16","　 ？？？ 　","　 ？？？ 　"
"00000A25","　　？ナハト　　","　　？ナハト　　"
"00000A4B","　　 ナハト 　　","　　 纳哈特 　　"
"00000AF6","　 ？？？ 　","　 ？？？ 　"
