name,text
opt_001,"显示模式
・窗口化　　　　　∶将画面设置为窗口模式。
・全　屏　　　　　∶将画面设置为全屏模式。切换至后台时，退出全屏。
・固定全屏　　　　∶将画面设置为全屏模式（固定）。
　　　　　　　　　　（※切换至后台时，不会更改显示模式，保持全屏显示）"
opt_002,"右键单击操作
・隐藏操作界面　　∶鼠标右键单击隐藏操作界面。
・打开菜单　　　　∶鼠标右键单击打开菜单。"
opt_003,"光标移动
・无　　　　　　　∶出现选项或确认窗口时，光标不会自动移动。
・有　　　　　　　∶出现选项或确认窗口时，光标会自动移动至相应位置。"
opt_004,"光标自动隐藏
・不隐藏　　　　　∶始终显示光标。
・５秒　　　　　　∶鼠标停止移动５秒后，隐藏光标。
・１０秒　　　　　∶鼠标停止移动１０秒后，隐藏光标。
・２０秒　　　　　∶鼠标停止移动２０秒后，隐藏光标。"
opt_005,"光标样式
・默　认　　　　　∶将光标样式设置为系统方案。
・方案１　　　　　∶将光标样式设置为游戏方案１。
・方案２　　　　　∶将光标样式设置为游戏方案２。"
opt_006,"切换至后台时的运行状态
・停　止　　　　　∶切换至后台时，暂停游戏运行。
・不停止　　　　　∶切换至后台时，保持游戏运行。"
opt_007,"操作界面切换动画
・正　常　　　　　∶正常播放操作界面的切换动画。
・高　速　　　　　∶高速播放操作界面的切换动画。
・无　　　　　　　∶不播放操作界面的切换动画。"
opt_008,"角色头像切换动画
・正　常　　　　　∶正常播放角色头像的切换动画。
・高　速　　　　　∶高速播放角色头像的切换动画。
・无　　　　　　　∶不播放角色头像的切换动画。"
opt_009,"ＣＧ・背景切换动画
・正　常　　　　　∶正常播放ＣＧ・背景的切换动画。
・高　速　　　　　∶高速播放ＣＧ・背景的切换动画。
・无　　　　　　　∶不播放ＣＧ・背景的切换动画。"
opt_010,"视角切换动画
・正　常　　　　　∶正常播放ＡＤＶ画面的视角切换动画。
・高　速　　　　　∶高速播放ＡＤＶ画面的视角切换动画。
・无　　　　　　　∶不播放ＡＤＶ画面的视角切换动画。"
opt_011,"ＦＶＰ缩放效果
・所　有　　　　　∶在所有ＣＧ事件启用预设的ＦＶＰ ＣＧ放大・缩小效果。
・仅普通场景　　　∶仅在普通ＣＧ事件启用预设的ＦＶＰ ＣＧ放大・缩小效果。
・仅Ｈ场景　　　　∶仅在ＨＣＧ事件启用预设的ＦＶＰ ＣＧ放大・缩小效果。
・无　　　　　　　∶不启用预设的ＦＶＰ ＣＧ放大・缩小效果。"
opt_012,"跳过文本换行动画
・仅空格键　　　　∶仅以空格键推进文本时，跳过文本换行动画。
・全　部　　　　　∶以任意方式推进文本时，跳过文本换行动画。
・不跳过　　　　　∶不跳过文本换行动画。"
opt_013,"自然现象的画面效果
・有　　　　　　　∶启用自然现象的画面效果。
・无　　　　　　　∶不启用自然现象的画面效果。"
opt_014,"背景自动对焦
・有　　　　　　　∶启用背景的景深模糊效果。
・无　　　　　　　∶不启用背景的景深模糊效果。"
opt_015,"时间段滤镜效果
・有　　　　　　　∶启用黄昏・夜间时间段的滤镜效果。
・无　　　　　　　∶不启用黄昏・夜间时间段的滤镜效果。"
opt_016,"确认窗口
・勾　选　　　　　∶操作时显示确认窗口。
・不勾选　　　　　∶操作时不显示确认窗口。"
opt_101,"主音量
・０～１００％　　∶调节全局音量。"
opt_102,"ＢＧＭ
・０～１００％　　∶调节ＢＧＭ音量。"
opt_103,"语音
・０～１００％　　∶调节语音音量。"
opt_104,"音效
・０～１００％　　∶调节音效音量。"
opt_105,"环境音
・０～１００％　　∶调节环境音音量。"
opt_106,"系统音效
・０～１００％　　∶调节系统音效音量。"
opt_107,"文本显示速度
・１～１０ｓｐｄ　∶调节文本显示速度。"
opt_108,"旁白自动播放速度
・１～１０ｓｐｄ　∶调节旁白的自动播放速度"
opt_109,"台词自动播放速度
・１～１０ｓｐｄ　∶调节台词的自动播放速度。"
opt_110,"文本字体
・字体选择　　　　∶变更文本字体。"
opt_111,"文本框透明度
・０～２５５　　　∶调节文本框的透明度。"
opt_112,"快进操作
・仅快进已读　　　∶仅快进已读文本。
・快进全部　　　　∶快进全部文本。"
opt_113,"Ｃｔｒｌ键的快进操作
・仅快进已读　　　∶使用Ｃｔｒｌ键快进时，仅快进已读文本。
・快进全部　　　　∶使用Ｃｔｒｌ键快进时，快进全部文本。"
opt_114,"已读文本的画面效果
・不省略　　　　　∶已读文本正常显示画面效果。
・省　略　　　　　∶已读文本省略画面效果。"
opt_115,"出现选项取消快进・自动播放
・不取消　　　　　∶出现选项时，不取消快进・自动播放。
・取　消　　　　　∶出现选项时，取消快进・自动播放。"
opt_116,"推进文本时，停止正在播放的语音
・不停止　　　　　∶推进文本时，不停止正在播放的语音。
・停　止　　　　　∶推进文本时，停止正在播放的语音。"
opt_117,"播放语音时的ＢＧＭ音量
・降　低　　　　　∶播放语音时，将ＢＧＭ的音量降低固定数值。
・不降低　　　　　∶播放语音时，不降低ＢＧＭ的音量。"
opt_201,"所选角色的台词文本颜色・语音
・Ｒ（０～２５５）∶调节所选角色台词文本颜色的Ｒ值（红）。
・Ｇ（０～２５５）∶调节所选角色台词文本颜色的Ｇ值（绿）。
・Ｂ（０～２５５）∶调节所选角色台词文本颜色的Ｂ值（蓝）。
・０～１００％　　∶调节所选角色的语音音量。"
